id,title,similar_movies,similar_books
1-332,"The Magician's Nephew (Chronicles of Narnia, #6)","['0-411', '0-76726', '0-2454', '0-10140']","['1-332', '1-641', '1-37', '1-347', '1-602', '1-292', '1-402', '1-83', '1-542', '1-13', '1-189', '1-178', '1-14', '1-19', '1-593']"
1-335,James and the Giant Peach,"['0-12162', '0-857', '0-10386', '0-8844', '0-497', '0-257344', '0-63']","['1-335', '1-373', '1-131', '1-255', '1-130', '1-332', '1-37', '1-606', '1-602', '1-55', '1-168', '1-117']"
1-336,"1st to Die (Women's Murder Club, #1)","['0-4248', '0-644', '0-4247', '0-1949', '0-1903', '0-8247', '0-1402', '0-5876', '0-38050']","['1-336', '1-723', '1-137', '1-400', '1-259', '1-786', '1-91', '1-463', '1-163', '1-73']"
1-337,The Ultimate Hitchhiker's Guide to the Galaxy,"['0-7453', '0-9477', '0-762', '0-6114', '0-27205', '0-608', '0-16320', '0-44912', '0-44833', '0-49849', '0-17431']","['1-337', '1-54', '1-599', '1-751', '1-620', '1-70', '1-416', '1-729']"
1-338,One Day,"['0-41630', '0-24428', '0-1593', '0-18360', '0-395992', '0-6477', '0-587']","['1-338', '1-171', '1-526', '1-791', '1-682', '1-183', '1-467', '1-784', '1-515', '1-691', '1-504', '1-38']"
1-339,Goodnight Moon,"['0-115', '0-10020', '0-680', '0-792', '0-568', '0-497', '0-2978', '0-278', '0-948', '0-694', '0-622', '0-772']","['1-339', '1-494', '1-503', '1-602', '1-48', '1-793', '1-297']"
1-340,"I Am Number Four (Lorien Legacies, #1)","['0-72105', '0-534', '0-296', '0-497', '0-214', '0-280', '0-215', '0-787', '0-218', '0-20662', '0-508', '0-4547', '0-22804', '0-44833', '0-663']","['1-340', '1-325', '1-488', '1-55']"
1-341,The Iliad,"['0-652', '0-630', '0-408', '0-770', '0-1585', '0-15', '0-289']","['1-341', '1-714', '1-29', '1-576', '1-478', '1-597', '1-248', '1-79', '1-529', '1-479', '1-772', '1-125']"
1-342,The Casual Vacancy,"['0-76726', '0-4347', '0-74', '0-96721', '0-11324']","['1-342', '1-212', '1-768', '1-84', '1-309', '1-788', '1-383', '1-326', '1-515', '1-51', '1-153', '1-653', '1-492', '1-39']"
1-343,The Runaway Jury,"['0-9388', '0-8247', '0-462', '0-298', '0-787', '0-9502', '0-37799', '0-163']","['1-343', '1-86', '1-123', '1-616', '1-400', '1-337', '1-135', '1-733', '1-140', '1-409', '1-273']"
1-344,Naked,"['0-82695', '0-10201', '0-64635', '0-14160', '0-333484', '0-9476']","['1-344', '1-86', '1-140', '1-11', '1-275', '1-221', '1-723', '1-490', '1-788', '1-516', '1-398', '1-653', '1-457']"
1-345,"Eldest (The Inheritance Cycle, #2)","['0-10191', '0-272', '0-333484', '0-2310', '0-9502', '0-6947', '0-808', '0-4442', '0-282035']","['1-345', '1-53', '1-447', '1-648', '1-135', '1-39', '1-110', '1-214', '1-188', '1-528']"
1-346,"The Wonderful Wizard of Oz (Oz, #1)","['0-630', '0-411']","['1-346', '1-37', '1-293', '1-618', '1-257', '1-590', '1-5', '1-699', '1-133', '1-109', '1-375', '1-177', '1-71', '1-614', '1-229', '1-547', '1-485']"
1-347,"Prince Caspian (Chronicles of Narnia, #2)","['0-2454', '0-411', '0-10140', '0-6114', '0-1878', '0-559', '0-8844']","['1-347', '1-37', '1-641', '1-292', '1-602', '1-332', '1-542', '1-80', '1-518', '1-161', '1-349', '1-611']"
1-349,'Salem's Lot,"['0-694', '0-37799', '0-621', '0-36647', '0-634', '0-755', '0-73', '0-2059', '0-9738', '0-166424', '0-9479', '0-6637', '0-679', '0-8835', '0-9552']","['1-349', '1-72', '1-205', '1-37']"
1-353,Othello,"['0-408', '0-15', '0-1585', '0-630', '0-770']","['1-353', '1-478', '1-479', '1-154', '1-529', '1-576', '1-772', '1-341', '1-597', '1-79', '1-714', '1-248', '1-125', '1-29']"
1-354,Beloved,"['0-39513', '0-497', '0-1359', '0-257211', '0-1597', '0-44833']","['1-354', '1-243', '1-457', '1-488', '1-111', '1-622', '1-504', '1-126', '1-707', '1-36', '1-212', '1-135', '1-436']"
1-355,"Graceling (Graceling Realm, #1)","['0-9502', '0-19995', '0-310', '0-45269', '0-1734', '0-7220', '0-810', '0-652', '0-1495']","['1-355', '1-39', '1-135', '1-110', '1-165', '1-724', '1-598', '1-746', '1-682', '1-691']"
1-356,"The Bad Beginning (A Series of Unfortunate Events, #1)","['0-9806', '0-500', '0-35019', '0-118', '0-65754', '0-1562', '0-411', '0-3933']","['1-356', '1-198', '1-282', '1-167', '1-557', '1-515', '1-658', '1-60', '1-436', '1-104', '1-39']"
1-357,All Quiet on the Western Front,"['0-497', '0-39513']","['1-357', '1-126', '1-243', '1-457', '1-498', '1-485', '1-488', '1-103', '1-471', '1-264', '1-444', '1-109', '1-518', '1-718', '1-547', '1-446', '1-590']"
1-361,Oliver Twist,"['0-500', '0-42684', '0-377']","['1-361', '1-575', '1-10', '1-171', '1-43', '1-76', '1-471', '1-590', '1-540', '1-618', '1-63', '1-230', '1-93', '1-545', '1-301', '1-671']"
1-362,The Screwtape Letters,"['0-497', '0-686', '0-280', '0-278', '0-409']","['1-362', '1-621', '1-55', '1-297', '1-168', '1-549', '1-606', '1-13', '1-255', '1-577', '1-493', '1-592', '1-225', '1-593']"
1-367,"Odd Thomas (Odd Thomas, #1)",['0-557'],"['1-367', '1-91', '1-259', '1-749', '1-430', '1-376', '1-232', '1-304', '1-703', '1-647', '1-312', '1-104', '1-295', '1-132', '1-354', '1-330', '1-325', '1-757']"
1-368,"The Subtle Knife (His Dark Materials, #2)","['0-411', '0-20662', '0-24428', '0-36557', '0-9476', '0-3131', '0-453', '0-35019']","['1-368', '1-480', '1-416', '1-575', '1-618', '1-39', '1-558', '1-377', '1-135', '1-389', '1-642']"
1-369,"Stargirl (Stargirl, #1)","['0-640', '0-621', '0-1584', '0-1250', '0-508', '0-9738', '0-166424']","['1-369', '1-428', '1-163', '1-147', '1-328', '1-234', '1-591', '1-111', '1-656', '1-295', '1-494', '1-268']"
1-370,"The Red Pyramid (Kane Chronicles, #1)","['0-49529', '0-4248', '0-15', '0-587', '0-18823', '0-1734']","['1-370', '1-295', '1-761', '1-167', '1-175', '1-41', '1-192', '1-214', '1-163', '1-159', '1-516', '1-665', '1-294']"
1-371,Stranger in a Strange Land,"['0-603', '0-787', '0-605', '0-2118', '0-948', '0-238', '0-597', '0-377']","['1-371', '1-13', '1-221', '1-547', '1-255', '1-670', '1-54', '1-621', '1-754', '1-311', '1-606']"
1-373,The BFG,"['0-267935', '0-11631', '0-591', '0-10195', '0-4442', '0-321612', '0-257344']","['1-373', '1-635', '1-624', '1-26', '1-652', '1-335', '1-436', '1-163', '1-294', '1-443', '1-493', '1-322']"
1-375,The Call of the Wild,"['0-62', '0-567', '0-935']","['1-375', '1-58', '1-601', '1-650', '1-639', '1-71', '1-298', '1-293', '1-301', '1-109', '1-706', '1-97', '1-618', '1-402', '1-83', '1-321']"
1-376,"The Death Cure (Maze Runner, #3)","['0-6637', '0-44214', '0-4922', '0-52520', '0-8643', '0-72331', '0-1562', '0-9476', '0-6947', '0-679']","['1-376', '1-259', '1-91', '1-304', '1-642', '1-757', '1-187', '1-249', '1-675']"
1-377,Stardust,"['0-2270', '0-411', '0-3933', '0-4442', '0-2454', '0-62177', '0-68727', '0-4922']","['1-377', '1-416', '1-39', '1-624', '1-368', '1-135', '1-52', '1-558', '1-481', '1-165', '1-732']"
1-381,Where the Heart Is,"['0-693', '0-142', '0-22', '0-58', '0-39513', '0-1865', '0-285783', '0-276907', '0-285']","['1-381', '1-124', '1-640', '1-409', '1-436', '1-312', '1-647', '1-467', '1-268', '1-142']"
1-382,"Will Grayson, Will Grayson","['0-14836', '0-49519', '0-281957', '0-310']","['1-382', '1-6', '1-445', '1-653', '1-572', '1-520', '1-314', '1-723', '1-300', '1-344', '1-656', '1-342', '1-788', '1-481', '1-51']"
1-383,A Million Little Pieces,"['0-12162', '0-77', '0-22804', '0-82695']","['1-383', '1-691', '1-723', '1-342', '1-135', '1-188', '1-784', '1-273', '1-484', '1-745', '1-115', '1-653', '1-515', '1-467', '1-3']"
1-384,"Frostbite (Vampire Academy, #2)","['0-1726', '0-824', '0-141', '0-9477', '0-591', '0-1246']","['1-384', '1-394', '1-419', '1-543', '1-418', '1-465', '1-149', '1-475', '1-645', '1-34', '1-132', '1-751', '1-118']"
1-386,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)","['0-597', '0-37135', '0-348', '0-9340', '0-581', '0-28', '0-629', '0-9804', '0-578']","['1-386', '1-321', '1-28', '1-292', '1-503', '1-593', '1-410', '1-311', '1-55', '1-297']"
1-388,"Hatchet (Brian's Saga, #1)","['0-583', '0-813', '0-1903', '0-7518', '0-36669', '0-61791', '0-1402', '0-19913', '0-10527', '0-46195', '0-1949', '0-1927', '0-87827', '0-80321']","['1-388', '1-64', '1-104', '1-120', '1-60']"
1-389,"The Final Empire (Mistborn, #1)","['0-3933', '0-22832', '0-285', '0-333484', '0-70981', '0-206647', '0-2454']","['1-389', '1-565', '1-603', '1-39', '1-135', '1-480', '1-188', '1-110', '1-153', '1-368', '1-21', '1-165']"
1-394,"Shadow Kiss (Vampire Academy, #3)","['0-1726', '0-824', '0-141', '0-9335', '0-591', '0-3933', '0-114150', '0-64690']","['1-394', '1-543', '1-418', '1-419', '1-384', '1-465', '1-34', '1-645', '1-80', '1-132', '1-118']"
1-395,For Whom the Bell Tolls,"['0-44912', '0-857', '0-792', '0-1924', '0-424', '0-581', '0-1375', '0-28', '0-600', '0-37135', '0-409']","['1-395', '1-13', '1-225', '1-633', '1-126', '1-168', '1-66', '1-789']"
1-398,Fast Food Nation: The Dark Side of the All-American Meal,"['0-7518', '0-13223', '0-82695', '0-83542', '0-17431']","['1-398', '1-408', '1-691', '1-344', '1-243', '1-665', '1-140', '1-754', '1-416', '1-457', '1-239', '1-784', '1-278', '1-490']"
1-400,Neuromancer,"['0-1949', '0-388', '0-75656', '0-64688', '0-604', '0-1571', '0-462', '0-605', '0-65754', '0-180', '0-298', '0-8966', '0-603']","['1-400', '1-86', '1-336', '1-288', '1-627', '1-705']"
1-401,A Farewell to Arms,"['0-402', '0-89']","['1-401', '1-451', '1-38', '1-494', '1-63', '1-618', '1-471', '1-95', '1-485', '1-10', '1-701', '1-264', '1-357', '1-71', '1-109', '1-614', '1-172']"
1-402,The Tell-Tale Heart and Other Writings,[],"['1-402', '1-83', '1-293', '1-332', '1-43', '1-103', '1-171', '1-718', '1-413', '1-498', '1-618', '1-485', '1-10', '1-540', '1-230', '1-109', '1-614', '1-590', '1-177']"
1-405,Breakfast of Champions,"['0-7518', '0-28', '0-550', '0-10386', '0-57201', '0-622']","['1-405', '1-80', '1-664', '1-736', '1-196', '1-255', '1-173', '1-54', '1-8', '1-270', '1-763', '1-592', '1-168']"
1-407,Bel Canto,"['0-2770', '0-10764', '0-7551', '0-8363', '0-388', '0-8273', '0-508', '0-634', '0-6637']","['1-407', '1-120', '1-221', '1-628', '1-653', '1-440', '1-278', '1-44', '1-420', '1-494']"
1-408,"Guns, Germs, and Steel: The Fates of Human Societies","['0-80321', '0-7518', '0-107', '0-45269', '0-425', '0-298']","['1-408', '1-239', '1-660', '1-14', '1-749', '1-398', '1-84', '1-1', '1-665', '1-325', '1-45', '1-457', '1-179']"
1-409,Fried Green Tomatoes at the Whistle Stop Cafe,"['0-39513', '0-4108', '0-9335', '0-282035', '0-676', '0-4133', '0-141', '0-1734', '0-4248']","['1-409', '1-268', '1-179', '1-781', '1-294', '1-137', '1-685', '1-381', '1-499', '1-504']"
1-410,"Things Fall Apart (The African Trilogy, #1)","['0-500', '0-581', '0-2118', '0-333484', '0-73', '0-792']","['1-410', '1-284', '1-55', '1-763', '1-386', '1-255', '1-37', '1-593', '1-736', '1-130', '1-621', '1-734', '1-335']"
1-411,The Undomestic Goddess,"['0-787', '0-44833', '0-5255', '0-4922', '0-10193', '0-508', '0-1359', '0-45612', '0-2770', '0-310']","['1-411', '1-761', '1-310', '1-757', '1-322', '1-626', '1-258', '1-522', '1-779']"
1-413,The Three Musketeers,[],"['1-413', '1-103', '1-402', '1-83', '1-257', '1-230', '1-229', '1-498', '1-58', '1-109', '1-133', '1-485', '1-97', '1-590', '1-614', '1-357', '1-778', '1-671', '1-95']"
1-415,"Evermore (The Immortals, #1)","['0-2059', '0-1250', '0-6637', '0-11615', '0-3981', '0-23629', '0-3933', '0-82695']","['1-415', '1-732', '1-665', '1-132', '1-564', '1-369', '1-784', '1-295', '1-234', '1-724', '1-169']"
1-416,The Witches,"['0-411', '0-14574', '0-2270', '0-5255', '0-68727', '0-2454', '0-62177']","['1-416', '1-300', '1-558', '1-368', '1-626', '1-104', '1-377', '1-283', '1-306', '1-491', '1-449', '1-337']"
1-417,The Thirteenth Tale,"['0-27576', '0-5915', '0-587']","['1-417', '1-781', '1-270', '1-681', '1-494', '1-625', '1-522', '1-104', '1-135', '1-436', '1-653', '1-481', '1-36', '1-703', '1-38', '1-515']"
1-418,"Spirit Bound (Vampire Academy, #5)","['0-1726', '0-3933', '0-9335', '0-141', '0-1246', '0-824', '0-591']","['1-418', '1-394', '1-543', '1-419', '1-384', '1-465', '1-645', '1-132', '1-34', '1-176', '1-725', '1-118']"
1-419,"Blood Promise (Vampire Academy, #4)","['0-1726', '0-1949', '0-9335', '0-37799', '0-634', '0-591', '0-141', '0-166424', '0-9738']","['1-419', '1-394', '1-543', '1-418', '1-384', '1-465', '1-645', '1-118', '1-167', '1-35']"
1-420,Message in a Bottle,"['0-339988', '0-7551', '0-8966', '0-85350', '0-508', '0-1903', '0-808']","['1-420', '1-708', '1-407', '1-522', '1-627', '1-757', '1-622', '1-383', '1-286', '1-369', '1-192', '1-232']"
1-424,The Name of the Rose,"['0-9476', '0-22804', '0-834', '0-58595', '0-76726', '0-206647', '0-34544']","['1-424', '1-142', '1-249', '1-457', '1-642', '1-477', '1-526', '1-583', '1-527', '1-187', '1-123', '1-488']"
1-425,Go Ask Alice,"['0-1402', '0-402', '0-9552', '0-2105', '0-207', '0-755', '0-813', '0-1878']","['1-425', '1-237', '1-602', '1-621', '1-225', '1-577', '1-178', '1-317', '1-28', '1-265', '1-85']"
1-428,"The Mark of Athena (The Heroes of Olympus, #3)","['0-6466', '0-4108', '0-9335', '0-49849', '0-184315']","['1-428', '1-175', '1-151', '1-294', '1-159', '1-163', '1-41', '1-214', '1-6', '1-369', '1-289', '1-516', '1-601', '1-488']"
1-429,"The Color of Magic (Discworld, #1; Rincewind #1)","['0-18823', '0-10191', '0-19995', '0-82690', '0-257344', '0-310', '0-671']","['1-429', '1-755', '1-481', '1-786', '1-167', '1-486', '1-453', '1-648', '1-370', '1-110', '1-2', '1-175']"
1-430,Kafka on the Shore,"['0-64690', '0-1949']","['1-430', '1-749', '1-494', '1-653', '1-481', '1-322', '1-367', '1-467', '1-520', '1-522', '1-388', '1-557', '1-465', '1-38', '1-124', '1-665', '1-184']"
1-431,"Red Dragon (Hannibal Lecter, #1)","['0-2675', '0-49849', '0-616', '0-6466', '0-809', '0-10191', '0-1949', '0-644', '0-4247']","['1-431', '1-209', '1-526', '1-511', '1-591', '1-627', '1-748', '1-305', '1-724', '1-288']"
1-434,"Crescendo (Hush, Hush, #2)","['0-68727', '0-22538', '0-322', '0-4638', '0-2770', '0-16320', '0-2675', '0-27205', '0-4248', '0-1903', '0-673']","['1-434', '1-202', '1-504', '1-609', '1-268', '1-135', '1-134', '1-259']"
1-436,The God of Small Things,"['0-11631', '0-267935', '0-591', '0-1272', '0-88', '0-2252', '0-587']","['1-436', '1-635', '1-26', '1-373', '1-179', '1-652', '1-624', '1-467', '1-111', '1-515', '1-779', '1-711']"
1-440,"Fall of Giants (The Century Trilogy, #1)","['0-45269', '0-4133', '0-16869']","['1-440', '1-598', '1-654', '1-711', '1-705', '1-757', '1-39', '1-768', '1-142', '1-682', '1-653', '1-258', '1-165', '1-628', '1-407', '1-110']"
1-441,Under the Dome,"['0-2770', '0-8273', '0-35', '0-956', '0-10193', '0-23483', '0-2105', '0-39513', '0-12162', '0-5876', '0-49529']","['1-441', '1-221', '1-571', '1-58', '1-640', '1-293', '1-13', '1-409']"
1-443,Just Listen,"['0-11631', '0-10764', '0-267935', '0-1584', '0-591']","['1-443', '1-325', '1-564', '1-635', '1-373', '1-234', '1-369', '1-26', '1-436', '1-652', '1-591', '1-624', '1-656', '1-604']"
1-444,"Winnie-the-Pooh (Winnie-the-Pooh, #1)","['0-415', '0-414', '0-268', '0-17654']","['1-444', '1-60', '1-229', '1-257', '1-357', '1-93', '1-485', '1-301', '1-590', '1-133', '1-497', '1-346', '1-109', '1-401', '1-446']"
1-445,Before I Go to Sleep,"['0-38', '0-9509', '0-85350', '0-616', '0-1954']","['1-445', '1-578', '1-653', '1-486', '1-382', '1-453', '1-36', '1-665', '1-582', '1-38', '1-522', '1-481', '1-35', '1-314']"
1-446,A Study in Scarlet,['0-58574'],"['1-446', '1-618', '1-97', '1-58', '1-76', '1-257', '1-229', '1-485', '1-177', '1-37', '1-71', '1-103', '1-706', '1-109', '1-402', '1-83', '1-671', '1-614']"
1-447,"Brisingr (The Inheritance Cycle, #3)","['0-10191', '0-272', '0-855', '0-49026', '0-2310', '0-120', '0-121', '0-4442']","['1-447', '1-345', '1-648', '1-53', '1-135', '1-110', '1-39', '1-165', '1-188', '1-682', '1-724']"
1-449,"Betrayed (House of Night, #2)","['0-8966', '0-640', '0-508', '0-281957']","['1-449', '1-491', '1-246', '1-416', '1-163', '1-306', '1-369', '1-295', '1-234', '1-176', '1-325', '1-557', '1-328', '1-467', '1-88']"
1-450,"Storm Front (The Dresden Files, #1)","['0-3933', '0-9738', '0-166424', '0-2675', '0-644', '0-97020', '0-101299', '0-52520']","['1-450', '1-484', '1-71', '1-526', '1-176', '1-543', '1-286', '1-394', '1-418', '1-305', '1-400']"
1-451,Northanger Abbey,"['0-402', '0-339988', '0-8966']","['1-451', '1-401', '1-63', '1-618', '1-471', '1-38', '1-10', '1-95', '1-230', '1-171', '1-494', '1-76', '1-43', '1-671', '1-518', '1-489']"
1-453,Cold Mountain,"['0-253412', '0-388', '0-57201', '0-72976']","['1-453', '1-239', '1-132', '1-104', '1-286', '1-685', '1-723', '1-488', '1-232', '1-135', '1-653', '1-486', '1-110', '1-622', '1-429']"
1-455,"Something Blue (Darcy & Rachel, #2)","['0-3981', '0-74', '0-155', '0-272', '0-85350', '0-19913']","['1-156', '1-455', '1-305', '1-10', '1-234', '1-167', '1-196', '1-708', '1-150', '1-768', '1-729', '1-465', '1-653']"
1-457,The Historian,"['0-39513', '0-6114', '0-497', '0-9806', '0-36955', '0-257211', '0-10200', '0-1359']","['1-457', '1-243', '1-97', '1-488', '1-622', '1-111', '1-126', '1-615', '1-482', '1-354', '1-196']"
1-461,"The Good Earth (House of Earth, #1)","['0-9502', '0-238', '0-4011', '0-772']","['1-461', '1-225', '1-577', '1-284', '1-681', '1-158', '1-593', '1-730', '1-311', '1-131', '1-126', '1-130', '1-85', '1-265', '1-738']"
1-463,"Dragonfly in Amber (Outlander, #2)","['0-23168', '0-508', '0-150540', '0-6477', '0-71672', '0-954', '0-9335', '0-4108', '0-587', '0-585']","['1-463', '1-137', '1-107', '1-575', '1-326', '1-336', '1-73', '1-179', '1-685']"
1-465,In Her Shoes,"['0-1726', '0-76163', '0-141', '0-4922', '0-35']","['1-465', '1-394', '1-543', '1-384', '1-418', '1-419', '1-627', '1-263', '1-111', '1-743', '1-757', '1-118', '1-60', '1-504']"
1-467,The Brief Wondrous Life of Oscar Wao,"['0-10555', '0-2978', '0-9335', '0-4347', '0-924', '0-425', '0-3981']","['1-467', '1-34', '1-212', '1-591', '1-118', '1-436', '1-653', '1-784', '1-68', '1-278', '1-100', '1-196']"
1-471,Mansfield Park,['0-411'],"['1-471', '1-618', '1-76', '1-401', '1-451', '1-650', '1-93', '1-10', '1-37', '1-498', '1-230', '1-171', '1-43', '1-5', '1-38', '1-714', '1-95', '1-292']"
1-475,"Where She Went (If I Stay, #2)","['0-41630', '0-1272', '0-176', '0-72331', '0-508', '0-83542', '0-82695', '0-70', '0-673']","['1-475', '1-149', '1-384', '1-225', '1-522', '1-283', '1-467', '1-98', '1-490', '1-784']"
1-476,The World According to Garp,"['0-13', '0-238', '0-948', '0-36955', '0-2105']","['1-476', '1-55', '1-633', '1-225', '1-265', '1-85', '1-178', '1-763', '1-593', '1-549', '1-311', '1-113', '1-621', '1-271']"
1-477,"Killing Floor (Jack Reacher, #1)","['0-34544', '0-58', '0-180', '0-693', '0-322', '0-22', '0-1250', '0-142', '0-49026', '0-8966', '0-1865', '0-9480']","['1-477', '1-124', '1-627', '1-167', '1-640', '1-312', '1-647']"
1-478,Robinson Crusoe,"['0-770', '0-408', '0-1585', '0-630', '0-289', '0-15']","['1-478', '1-529', '1-79', '1-772', '1-576', '1-194', '1-353', '1-341', '1-597', '1-699', '1-248', '1-479', '1-293']"
1-479,The Prince,"['0-767', '0-675', '0-671', '0-674', '0-672', '0-673', '0-36955', '0-8321', '0-95', '0-1585', '0-8966', '0-408']","['1-479', '1-27', '1-21', '1-2', '1-24', '1-23', '1-18']"
1-480,"The Amber Spyglass (His Dark Materials, #3)","['0-14836', '0-559', '0-8960', '0-557', '0-3933', '0-411', '0-285', '0-24428']","['1-480', '1-368', '1-499', '1-39', '1-135', '1-504', '1-282', '1-389', '1-167', '1-340', '1-586']"
1-481,"Wizard's First Rule (Sword of Truth, #1)","['0-20662', '0-1452', '0-6947', '0-4442', '0-27022', '0-36586', '0-11917']","['1-481', '1-322', '1-494', '1-142', '1-654', '1-571', '1-764', '1-45', '1-486', '1-430', '1-2', '1-653']"
1-482,The Kitchen House,"['0-285', '0-22', '0-9806', '0-9502', '0-58', '0-1865', '0-10200', '0-676', '0-36955']","['1-482', '1-577', '1-730', '1-457', '1-138', '1-118', '1-615', '1-755', '1-278', '1-733']"
1-483,Franny and Zooey,"['0-311', '0-14', '0-948', '0-380']","['1-483', '1-621', '1-493', '1-8', '1-13', '1-48', '1-339', '1-66', '1-168', '1-311', '1-225', '1-55', '1-606', '1-265', '1-85']"
1-484,Choke,"['0-3933', '0-9738', '0-166424', '0-1593', '0-101299', '0-18360']","['1-484', '1-450', '1-71', '1-326', '1-286', '1-176', '1-179', '1-207', '1-44', '1-708', '1-522', '1-282', '1-543']"
1-485,The Brothers Karamazov,"['0-389', '0-1272']","['1-485', '1-718', '1-498', '1-401', '1-357', '1-177', '1-518', '1-172', '1-71', '1-446', '1-257', '1-58', '1-614', '1-83', '1-402', '1-229', '1-204']"
1-486,"The City of Ember (Book of Ember, #1)","['0-11917', '0-388', '0-282035', '0-22804', '0-591', '0-257344', '0-155']","['1-486', '1-187', '1-745', '1-115', '1-481', '1-603', '1-725', '1-26', '1-445', '1-660', '1-249', '1-91']"
1-487,The Andromeda Strain,"['0-710', '0-18', '0-95', '0-817', '0-63', '0-106', '0-8078', '0-18823', '0-686', '0-348', '0-568', '0-620', '0-280', '0-1572']","['1-487', '1-168', '1-503', '1-297', '1-178']"
1-488,The Green Mile,"['0-497', '0-39513', '0-72105', '0-534', '0-214', '0-296']","['1-488', '1-340', '1-41', '1-175', '1-243', '1-151', '1-159', '1-457', '1-325', '1-214', '1-294', '1-111', '1-428']"
1-489,The Prophet,"['0-497', '0-539', '0-62']","['1-489', '1-43', '1-340', '1-76', '1-451', '1-55', '1-485', '1-671', '1-97', '1-245', '1-618', '1-93', '1-194', '1-518', '1-103', '1-498']"
1-490,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","['0-663', '0-423', '0-1272', '0-14574', '0-424', '0-82695', '0-257211', '0-244786']","['1-490', '1-268', '1-762', '1-241', '1-300', '1-564', '1-457', '1-243', '1-344', '1-124', '1-516']"
1-491,"Untamed (House of Night, #4)","['0-10138', '0-11631', '0-411']","['1-491', '1-449', '1-246', '1-416', '1-163', '1-135', '1-110', '1-39', '1-682', '1-188', '1-340', '1-504', '1-627', '1-428', '1-306', '1-124']"
1-492,"Speaker for the Dead (Ender's Saga, #2)","['0-76726', '0-787', '0-559', '0-557', '0-64635', '0-10195']","['1-492', '1-70', '1-760', '1-665', '1-729', '1-119', '1-768', '1-179', '1-342', '1-624', '1-39', '1-153', '1-747']"
1-493,Mere Christianity,"['0-591', '0-11631', '0-89', '0-267935', '0-762', '0-27582', '0-679', '0-111', '0-1572']","['1-493', '1-26', '1-201', '1-9', '1-635', '1-373', '1-321', '1-13', '1-311', '1-255']"
1-494,The Secret History,"['0-115', '0-20662', '0-9693']","['1-494', '1-38', '1-401', '1-481', '1-322', '1-142', '1-339', '1-176', '1-258', '1-654', '1-618', '1-417', '1-571', '1-764', '1-515', '1-451']"
1-496,"The Clan of the Cave Bear (Earth's Children, #1)","['0-62177', '0-98566', '0-2062', '0-22832', '0-2024', '0-2310', '0-19995', '0-425']","['1-496', '1-82', '1-137', '1-258', '1-300', '1-142', '1-669', '1-73', '1-665', '1-150', '1-345']"
1-497,Black Beauty,[],"['1-497', '1-547', '1-485', '1-718', '1-590', '1-706', '1-204', '1-257', '1-293', '1-357', '1-545', '1-229', '1-650', '1-518', '1-194', '1-444', '1-361', '1-618', '1-133']"
1-498,War and Peace,['0-2252'],"['1-498', '1-172', '1-80', '1-177', '1-471', '1-103', '1-357', '1-14', '1-485', '1-699', '1-718', '1-97', '1-230', '1-778', '1-95', '1-83', '1-402', '1-782']"
1-499,American Psycho,"['0-17431', '0-557', '0-122', '0-8960', '0-559', '0-508', '0-11631', '0-121', '0-35019', '0-72331']","['1-499', '1-515', '1-68', '1-586', '1-480', '1-340', '1-57', '1-693', '1-557']"
1-503,"2001: A Space Odyssey (Space Odyssey, #1)","['0-62', '0-568', '0-348', '0-8078', '0-18', '0-686', '0-497', '0-95', '0-597', '0-679', '0-8077', '0-63', '0-218', '0-817']","['1-503', '1-79', '1-54', '1-386', '1-339']"
1-504,Redeeming Love,"['0-4638', '0-948', '0-238', '0-834', '0-4147', '0-4547', '0-39513', '0-86834', '0-52520', '0-27576', '0-508', '0-924', '0-824']","['1-504', '1-243', '1-457', '1-340', '1-134', '1-488']"
1-506,"The One (The Selection, #3)","['0-510', '0-76163', '0-11324', '0-71672', '0-4232', '0-5876', '0-5255', '0-508', '0-927']","['1-506', '1-129', '1-705', '1-321', '1-65', '1-86', '1-788', '1-604', '1-729', '1-768']"
1-510,"The Great Hunt (Wheel of Time, #2)","['0-9543', '0-52520', '0-834', '0-34544', '0-411', '0-333484', '0-2310', '0-58595', '0-2454', '0-671', '0-14836']","['1-510', '1-330', '1-528', '1-722', '1-2', '1-295', '1-480', '1-135']"
1-511,"Postmortem (Kay Scarpetta, #1)","['0-2024', '0-1949', '0-4247', '0-1359', '0-4638', '0-176', '0-214', '0-1927', '0-240832', '0-180', '0-1930']","['1-511', '1-526', '1-431', '1-336', '1-123', '1-98', '1-266', '1-209']"
1-515,The Prince of Tides,"['0-19913', '0-61791', '0-10200', '0-1586', '0-672']","['1-515', '1-650', '1-142', '1-499', '1-5', '1-176', '1-4', '1-38', '1-175', '1-609', '1-131', '1-494', '1-153', '1-784']"
1-516,The Amazing Adventures of Kavalier & Clay,"['0-59967', '0-228150', '0-77', '0-72559', '0-508', '0-1452', '0-239', '0-644', '0-118', '0-2770']","['1-516', '1-609', '1-556', '1-428', '1-147', '1-268', '1-21', '1-2', '1-669']"
1-518,Peter Pan,"['0-559', '0-41733', '0-1930', '0-694', '0-557', '0-411', '0-8844', '0-2454', '0-2978']","['1-518', '1-328', '1-72', '1-701', '1-639', '1-37', '1-93', '1-293', '1-485', '1-97']"
